"TVS_MOTORS_DATE","CLOSE_PRICE","TWENTY_DAY_MA","FIFTY_DAY_MA"
16-OCT-15,247.55,235.5975,230.269
19-OCT-15,246.95,236.3175,230.515
20-OCT-15,245.85,236.8275,230.695
21-OCT-15,252.15,237.755,230.955
23-OCT-15,251.5,238.8375,231.302
26-OCT-15,244.05,239.5375,231.712
27-OCT-15,276.15,241.555,232.766
28-OCT-15,271.8,243.5625,233.691
29-OCT-15,263.95,245.245,234.37
30-OCT-15,265.4,247.005,235.082
02-NOV-15,274.15,249.2325,235.96
03-NOV-15,287.5,252.1575,237.13
04-NOV-15,285.6,254.9275,238.206
05-NOV-15,281.2,256.9225,239.255
06-NOV-15,282.85,259.035,240.641
09-NOV-15,290.65,261.6375,241.978
10-NOV-15,296.25,264.5175,243.354
11-NOV-15,297,267.26,244.76
13-NOV-15,296.3,269.9725,246.278
16-NOV-15,296.25,272.655,247.734
17-NOV-15,294.15,274.985,249.282
18-NOV-15,286.3,276.9525,250.603
19-NOV-15,294.4,279.38,252.07
20-NOV-15,293.45,281.445,253.479
23-NOV-15,294.25,283.5825,255.003
24-NOV-15,290.45,285.9025,256.403
26-NOV-15,298.2,287.005,257.849
27-NOV-15,305.45,288.6875,259.394
30-NOV-15,306.9,290.835,260.88
01-DEC-15,304,292.765,262.321
02-DEC-15,289.2,293.5175,263.485
03-DEC-15,283.3,293.3075,264.5
04-DEC-15,283.75,293.215,265.462
07-DEC-15,281.8,293.245,266.426
08-DEC-15,275.15,292.86,267.332
09-DEC-15,270.4,291.8475,268.139
10-DEC-15,278.55,290.9625,268.994
11-DEC-15,274.05,289.815,269.842
14-DEC-15,275.05,288.7525,270.737
15-DEC-15,285.05,288.1925,271.834
16-DEC-15,281.75,287.5725,272.877
17-DEC-15,287.3,287.6225,274.043
18-DEC-15,286.1,287.2075,275.161
21-DEC-15,289.05,286.9875,276.116
22-DEC-15,288.05,286.6775,277.065
23-DEC-15,290.1,286.66,278.095
24-DEC-15,285,286,279.022
28-DEC-15,285.5,285.0025,279.889
29-DEC-15,293.3,284.3225,280.914
30-DEC-15,290.2,283.6325,281.866
31-DEC-15,289.65,283.655,282.708
01-JAN-16,287.1,283.845,283.511
04-JAN-16,286.45,283.98,284.323
05-JAN-16,286.95,284.2375,285.019
06-JAN-16,286.55,284.8075,285.72
07-JAN-16,277.6,285.1675,286.391
08-JAN-16,284.6,285.47,286.56
11-JAN-16,285.85,286.06,286.841
12-JAN-16,289.7,286.7925,287.356
13-JAN-16,288.1,286.945,287.81
14-JAN-16,281.4,286.9275,287.955
15-JAN-16,277.65,286.445,287.758
18-JAN-16,274,285.84,287.526
19-JAN-16,282.55,285.515,287.553
20-JAN-16,274.1,284.8175,287.378
21-JAN-16,274.2,284.0225,287.049
22-JAN-16,285.05,284.025,286.825
25-JAN-16,288,284.15,286.645
27-JAN-16,289.85,283.9775,286.516
28-JAN-16,291.65,284.05,286.424
29-JAN-16,291.5,284.1425,286.371
01-FEB-16,295.35,284.555,286.552
02-FEB-16,293.1,284.8875,286.526
03-FEB-16,287.45,284.9125,286.406
04-FEB-16,281.35,284.6525,286.148
05-FEB-16,288.4,285.1925,286.107
08-FEB-16,287.05,285.315,285.884
09-FEB-16,285.75,285.31,285.49
10-FEB-16,286.4,285.145,285.08
11-FEB-16,277.95,284.6375,284.559
12-FEB-16,276.15,284.375,284.298
15-FEB-16,285.05,284.745,284.333
16-FEB-16,276.7,284.88,284.192
17-FEB-16,281.9,284.8475,284.194
18-FEB-16,284.9,285.3875,284.389
19-FEB-16,287.45,286.05,284.73
22-FEB-16,286.7,286.1325,284.893
23-FEB-16,280.3,285.7475,285.018
24-FEB-16,270.35,284.7725,284.924
25-FEB-16,267.6,283.57,284.575
26-FEB-16,264.55,282.2225,284.231
29-FEB-16,267.7,280.84,283.839
01-MAR-16,283.7,280.37,283.791
02-MAR-16,287.6,280.3775,283.762
03-MAR-16,286.95,280.6575,283.74
04-MAR-16,288.2,280.6475,283.702
08-MAR-16,282.85,280.4375,283.659
09-MAR-16,284.6,280.38,283.641
10-MAR-16,283.5,280.235,283.445
11-MAR-16,288,280.7375,283.401
14-MAR-16,288.65,281.3625,283.381
15-MAR-16,285.95,281.4075,283.358
16-MAR-16,283.9,281.7675,283.307
17-MAR-16,283,281.8225,283.228
18-MAR-16,286.8,281.9175,283.233
21-MAR-16,305.1,282.8,283.783
22-MAR-16,317.15,284.3225,284.434
23-MAR-16,309.3,285.7725,284.903
28-MAR-16,314.3,287.97,285.395
29-MAR-16,315.25,290.3525,285.938
30-MAR-16,321.5,293.2,286.74
31-MAR-16,322.65,295.9475,287.64
01-APR-16,324.85,298.005,288.657
04-APR-16,324.3,299.84,289.492
05-APR-16,314.55,301.22,290.301
06-APR-16,316.6,302.64,291.149
07-APR-16,314.4,304.2175,291.736
08-APR-16,313.15,305.645,292.239
11-APR-16,315.25,307.2325,292.747
12-APR-16,318.65,308.765,293.287
13-APR-16,326.8,310.6725,293.993
18-APR-16,333.6,313.055,294.758
20-APR-16,335.9,315.655,295.614
21-APR-16,324.6,317.735,296.357
22-APR-16,331.5,319.97,297.36
25-APR-16,323.1,320.87,298.054
26-APR-16,329.75,321.5,298.908
27-APR-16,327.95,322.4325,299.752
28-APR-16,318.7,322.6525,300.398
29-APR-16,320,322.89,301.239
02-MAY-16,318.7,322.75,302.09
03-MAY-16,287.9,321.0125,302.147
04-MAY-16,289.85,319.2625,302.41
05-MAY-16,295.25,317.81,302.677
